"","problem","instance","representation","mean","median","sd","var","min","max","skewness","kurtosis","mad"
"1","CRA","A","IntArray",0.584986772486773,0.5869708994709,0.0143969973458314,0.000207273532575876,0.540454144620811,0.610119047619048,-0.628343353267048,0.827523937993615,0.0119845679012345
"2","CRA","A","Model",0.607832892416226,0.610119047619048,0.0073355115704986,5.38097300009188e-05,0.574625220458554,0.610119047619048,-3.56896994074952,11.6246420900949,0
"3","CRA","B","IntArray",0.65203911445192,0.656575763363118,0.0260743912129987,0.000679873877128506,0.57166632562581,0.694594893481572,-0.854093551250469,0.560751544646238,0.0221250316349499
"4","CRA","B","Model",0.697603648169172,0.700680219212711,0.0152789053258465,0.000233444947956182,0.633055544141127,0.720261063481392,-1.76849905345932,4.5414024728645,0.0110135249332825
"5","CRA","C","IntArray",0.575300128575778,0.582235157982659,0.0341587495958328,0.0011668201739508,0.478469300159631,0.644702701540323,-0.653242079514058,0.674195542057899,0.0254940725580894
"6","CRA","C","Model",0.622826611980009,0.61712307256715,0.0402553265440553,0.00162049131516852,0.535930434658953,0.726925301968116,0.247229602397345,0.255229963573909,0.0387357289380032
"7","CRA","D","IntArray",0.433621972691926,0.434667281909525,0.0455409351281452,0.00207397677234593,0.323558467546094,0.528041279255273,-0.196351386852111,-0.330615295065754,0.0475456314439597
"8","CRA","D","Model",0.507019316560215,0.509608982435326,0.0477718650098295,0.00228215108651737,0.383698734318214,0.584344168331641,-0.578634437513842,-0.179205919920726,0.0464340403838727
"9","CRA","E","IntArray",0.405226837806758,0.404482258468564,0.0485189862551498,0.00235409202722742,0.288617063537988,0.51862851367087,-0.00921192656872583,-0.00402249433061019,0.0426334573738592
"10","CRA","E","Model",0.452503300595897,0.45793488538984,0.0610344272548793,0.00372520131033115,0.317851080325766,0.581831661504489,-0.135738062404583,-0.529478800717525,0.0592089407687268
"11","Knapsack","A","IntArray",0.50937213749239,0.510684575110076,0.0536295693173342,0.00287613070516275,0.363196027352654,0.600350690364277,-0.363897414428186,-0.357558438308637,0.0536791279394898
"12","Knapsack","A","Model",0.646486420122322,0.656016398142512,0.0431334433709092,0.00186049393703143,0.514978391828182,0.722259890030155,-1.09373411400847,0.989166068236264,0.0363467255810847
"13","Knapsack","B","IntArray",0.311761854707111,0.30821057566794,0.0625193980140217,0.00390867512803567,0.20497199943655,0.440394909301636,0.182927060841207,-0.91973077806801,0.070029115627422
"14","Knapsack","B","Model",0.513319806018303,0.527519191117017,0.0901612041553134,0.0081290427347361,0.346708487818207,0.667845620017416,-0.423774157847249,-1.10806075112229,0.0969488700309714
"15","Knapsack","C","IntArray",0.359627766100454,0.359397852749175,0.0879176273492019,0.00772950919871314,0.130156851260089,0.570281765991547,-0.128062980682947,-0.171594447888721,0.0955489785738923
"16","Knapsack","C","Model",0.533039357866376,0.537365693567104,0.0750059289325439,0.00562588937503382,0.344313894481867,0.758037631023401,0.161512541166074,0.567779378537336,0.0703511357787989
"17","Knapsack","D","IntArray",0.38950417505893,0.390002259044752,0.0220239596988415,0.000485054800816193,0.322056977195663,0.442120980458957,-0.251649475915467,0.856198012242961,0.0179057023692464
"18","Knapsack","D","Model",0.44609893255394,0.446670511155692,0.0183743563871575,0.000337616972642275,0.401524183274496,0.481347345708009,-0.322126795277892,-0.534188482832747,0.0205268432982359
"19","Knapsack","E","IntArray",0.299424342891559,0.300619194293731,0.0146293403477662,0.000214017599010779,0.272188405261119,0.330156258392032,0.110487349963103,-0.581627930759533,0.0139527542899805
"20","Knapsack","E","Model",0.417199743553642,0.418997057763669,0.0114056853279459,0.00013008965780012,0.3950279428845,0.44239294230256,0.126416639819868,-0.387145261729926,0.00864014645064565
"21","Knapsack","F","IntArray",0.203087228939807,0.202616887891413,0.0103649640903936,0.000107432480595149,0.18814234788081,0.231974672841088,0.696079883195051,-0.0402667856138206,0.0103350709604352
"22","Knapsack","F","Model",0.374864570523839,0.374775381657598,0.0107277313076178,0.000115084219008444,0.350203145958713,0.397298150953727,-0.0683866742120426,-0.285475073361493,0.00999512573227683
"23","Knapsack","G","IntArray",0.096018947886383,0.096294434148381,0.00589418739797916,3.47414450824964e-05,0.0756289303461909,0.106928133076135,-0.730721646211126,1.41391078873735,0.00540887773521856
"24","Knapsack","G","Model",0.133103654089429,0.13268362559144,0.00472497663534107,2.2325404204519e-05,0.123810752790886,0.14363411566251,0.13716404993902,-0.705484812175001,0.00505883738996434
"25","Knapsack","H","IntArray",0.0773440027677948,0.0772146987073228,0.00354798628873355,1.25882067050413e-05,0.0670013481231281,0.0826447130346122,-0.717400165202557,0.25549241006535,0.00345676876942918
"26","Knapsack","H","Model",0.128394814137585,0.128166076679714,0.00311635307614381,9.71165649519102e-06,0.118721875060157,0.135428899958689,-0.162187845889245,0.83055895912494,0.00289848261609367
"27","Knapsack","I","IntArray",0.0665104324570967,0.0663764855290064,0.00315625961259698,9.96197474211082e-06,0.0607259949350149,0.0732125076167514,0.0857557348654318,-0.770930283752711,0.0030886614590428
"28","Knapsack","I","Model",0.123839289557086,0.123760354782051,0.00338990833551842,1.14914785232172e-05,0.117170695899481,0.132925822901506,0.287785545149595,-0.0513652208255766,0.00354661182702267
