"","model","ref_total","cmp_total","ratio"
"1","A",54470.8977025,23653.09195,0.434233562280991
"2","B",218768.0482,111201.005148,0.508305513821373
"3","C",440797.5371555,268865.772897,0.609952983476294
"4","D",69867.7063975,39429.3206535,0.564342565207076
"5","E",236576.4196,134867.21285,0.570078848424672
"6","F",617177.219301,388436.7621545,0.629376376844295
"7","G",78467.4828485,43898.11515,0.5594433968878
"8","H",354599.3705,205978.1479,0.580875672761523
"9","I",832321.58885,536869.0154665,0.645025940283827
